--------- beginning of system
01-30 13:43:53.871   772   772 W wificond: Scheduled scan is not running!
01-30 13:47:36.628  2603  2603 D ActivityThread: Loading provider contacts;com.android.contacts: com.android.providers.contacts.ContactsProvider2
01-30 13:47:36.725  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 7 lines
01-30 13:47:36.726  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 31 lines
01-30 13:47:40.263  1089  2130 I chatty  : uid=1000(system) Binder:1089_A expire 1 line
01-30 13:47:40.592  1089  1677 I chatty  : uid=1000(system) Binder:1089_6 expire 4 lines
01-30 13:47:41.019  1089  1311 I chatty  : uid=1000(system) Binder:1089_5 expire 2 lines
01-30 13:47:41.884  1089  1859 I chatty  : uid=1000(system) Binder:1089_8 expire 1 line
01-30 13:47:41.945  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 3 lines
01-30 13:48:14.595  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 5 lines
01-30 13:48:19.522  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 31 lines
01-30 13:48:21.221  1089  1677 I chatty  : uid=1000(system) Binder:1089_6 expire 1 line
01-30 13:48:21.224  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 3 lines
01-30 13:48:22.060  1089  1859 I chatty  : uid=1000(system) Binder:1089_8 expire 1 line
01-30 13:48:50.394  1089  2340 I chatty  : uid=1000(system) Binder:1089_1D expire 5 lines
01-30 13:48:55.984  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 2 lines
01-30 13:49:20.019  1089   382 I chatty  : uid=1000(system) Binder:1089_15 expire 1 line
01-30 13:49:20.020  1089  1544 I chatty  : uid=1000(system) Binder:1089_18 expire 1 line
01-30 13:49:20.082  1089  2130 I chatty  : uid=1000(system) Binder:1089_A expire 1 line
01-30 13:49:53.479  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 1 line
01-30 13:49:53.535  1089  3897 I chatty  : uid=1000(system) Binder:1089_21 expire 1 line
01-30 13:49:54.485  1089  2798 I chatty  : uid=1000(system) Binder:1089_1F expire 2 lines
01-30 13:49:56.745  1089  1177 I chatty  : uid=1000(system) android.fg expire 1 line
01-30 13:49:59.262  1089  2130 I chatty  : uid=1000(system) Binder:1089_A expire 6 lines
01-30 13:50:01.673  1089  3385 I chatty  : uid=1000(system) Binder:1089_3 expire 6 lines
01-30 13:50:04.812  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 4 lines
01-30 13:50:04.815  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 24 lines
01-30 13:50:05.706  1089  2340 I chatty  : uid=1000(system) Binder:1089_1D expire 5 lines
01-30 13:50:07.663  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 1 line
01-30 13:50:08.910  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 1 line
01-30 13:50:13.177  1089  3897 I chatty  : uid=1000(system) Binder:1089_21 expire 2 lines
01-30 13:50:19.841  1089   382 I chatty  : uid=1000(system) Binder:1089_15 expire 2 lines
01-30 13:50:19.843  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 2 lines
01-30 13:50:24.809  1089  1311 I chatty  : uid=1000(system) Binder:1089_5 expire 2 lines
01-30 13:50:27.021  1089  2130 I chatty  : uid=1000(system) Binder:1089_A expire 1 line
01-30 13:50:28.288  1089  3897 I chatty  : uid=1000(system) Binder:1089_21 expire 3 lines
01-30 13:50:28.329  3619  3619 D ActivityThread: Loading provider contacts;com.android.contacts: com.android.providers.contacts.ContactsProvider2
01-30 13:50:30.225  1089   382 I chatty  : uid=1000(system) Binder:1089_15 expire 12 lines
01-30 13:50:31.141  1089  1544 I chatty  : uid=1000(system) Binder:1089_18 expire 2 lines
01-30 13:50:34.285  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 3 lines
01-30 13:50:35.118  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 1 line
01-30 13:50:35.213  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 27 lines
01-30 13:50:40.869  1089  1177 I chatty  : uid=1000(system) android.fg expire 2 lines
01-30 13:50:41.297  1089  1859 I chatty  : uid=1000(system) Binder:1089_8 expire 4 lines
01-30 13:50:52.890  1089  2798 I chatty  : uid=1000(system) Binder:1089_1F expire 1 line
01-30 13:50:52.920  1089  1178 I chatty  : uid=1000(system) android.ui expire 2 lines
01-30 13:50:53.030  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 6 lines
01-30 13:50:53.463  1089  1677 I chatty  : uid=1000(system) Binder:1089_6 expire 11 lines
01-30 13:50:54.661  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 24 lines
01-30 13:50:54.738  1089  1177 I chatty  : uid=1000(system) android.fg expire 1 line
01-30 13:50:56.916  1089  1641 I chatty  : uid=1000(system) Binder:1089_19 expire 4 lines
01-30 13:50:57.125  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 2 lines
01-30 13:50:58.012  1089  1859 I chatty  : uid=1000(system) Binder:1089_8 expire 3 lines
01-30 13:50:58.578  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 3 lines
01-30 13:51:00.318  1089  3897 I chatty  : uid=1000(system) Binder:1089_21 expire 2 lines
01-30 13:51:03.672  1089  2340 I chatty  : uid=1000(system) Binder:1089_1D expire 7 lines
01-30 13:51:04.462  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 31 lines
01-30 13:51:05.814  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 4 lines
01-30 13:51:10.490  1089   382 I chatty  : uid=1000(system) Binder:1089_15 expire 5 lines
01-30 13:51:10.520  3295  3295 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@73ddf41
01-30 13:51:10.937  1089  1205 I chatty  : uid=1000(system) batterystats-wo expire 1 line
01-30 13:51:16.468  1089  2130 I chatty  : uid=1000(system) Binder:1089_A expire 3 lines
01-30 13:51:17.286  1089   387 I chatty  : uid=1000(system) Binder:1089_16 expire 4 lines
01-30 13:51:18.392  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 2 lines
01-30 13:51:24.042  1089   382 I chatty  : uid=1000(system) Binder:1089_15 expire 7 lines
