--------- beginning of system
01-25 18:09:37.533  2396  2396 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@54095b6
01-25 18:09:37.533  2396  2396 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@ae162b7
01-26 23:10:30.507  1080  3669 I chatty  : uid=1000(system) Binder:1080_12 expire 1 line
01-26 23:10:30.507  1080  1106 I chatty  : uid=1000(system) Binder:1080_1 expire 1 line
01-26 23:10:30.508  1080  3564 I chatty  : uid=1000(system) Binder:1080_F expire 3 lines
01-26 23:10:30.508  1080  1405 I chatty  : uid=1000(system) ConnectivitySer expire 1 line
01-26 23:10:30.854  1080  2338 I chatty  : uid=1000(system) Binder:1080_B expire 1 line
01-26 23:10:31.005  1080  1194 I chatty  : uid=1000(system) batterystats-wo expire 1 line
01-26 23:10:31.168  1080  1677 I chatty  : uid=1000(system) Binder:1080_6 expire 2 lines
01-26 23:10:31.389  1080  1561 I chatty  : uid=1000(system) Binder:1080_18 expire 1 line
01-26 23:10:31.655  1080  2207 I chatty  : uid=1000(system) Binder:1080_1C expire 1 line
01-26 23:10:31.663   610   610 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@6a6cce7
01-26 23:10:31.830  1080  2628 I chatty  : uid=1000(system) Binder:1080_1D expire 6 lines
01-26 23:10:31.973  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 15 lines
01-26 23:10:36.452  1080  1194 I chatty  : uid=1000(system) batterystats-wo expire 5 lines
01-26 23:10:41.513  1080  1186 I chatty  : uid=1000(system) ActivityManager expire 3 lines
01-27 00:13:29.059  1080  1377 I chatty  : uid=1000(system) NetworkStats expire 3 lines
01-27 00:13:29.626  1080  1930 I chatty  : uid=1000(system) Binder:1080_1A expire 1 line
01-27 00:13:29.958  1080  3122 I chatty  : uid=1000(system) Binder:1080_21 expire 1 line
01-27 02:54:05.149  1080  1308 I chatty  : uid=1000(system) Binder:1080_5 expire 4 lines
01-27 02:54:05.149  1080  1405 I chatty  : uid=1000(system) ConnectivitySer expire 1 line
01-27 04:52:23.180  1080  1080 I chatty  : uid=1000(system) Binder:1080_3 expire 2 lines
01-27 04:52:23.262  1080  1561 I chatty  : uid=1000(system) Binder:1080_18 expire 2 lines
01-27 04:52:24.635  1080  1106 I chatty  : uid=1000(system) Binder:1080_1 expire 1 line
01-27 04:52:24.684  1080  1405 I chatty  : uid=1000(system) ConnectivitySer expire 1 line
01-27 04:52:24.689  1080  3816 I chatty  : uid=1000(system) Binder:1080_13 expire 1 line
01-27 04:52:24.762  1080  2336 I chatty  : uid=1000(system) Binder:1080_A expire 1 line
01-27 04:52:24.816  1080  1930 I chatty  : uid=1000(system) Binder:1080_1A expire 1 line
01-27 04:52:24.825  1080  1186 I chatty  : uid=1000(system) ActivityManager expire 2 lines
01-27 04:52:26.595  1080  1080 I chatty  : uid=1000(system) Binder:1080_3 expire 7 lines
01-27 04:52:26.637  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 6 lines
01-27 04:52:26.770  1080  3122 I chatty  : uid=1000(system) Binder:1080_21 expire 2 lines
01-27 04:52:27.265  1080  2262 I chatty  : uid=1000(system) backup-0 expire 4 lines
01-27 04:52:27.274  1080  1641 I chatty  : uid=1000(system) Binder:1080_3 expire 13 lines
01-27 04:52:28.303  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 27 lines
01-27 04:52:28.313  1080  1361 I chatty  : uid=1000(system) NetworkWatchlis expire 2 lines
01-27 04:52:29.144  1080  1561 I chatty  : uid=1000(system) Binder:1080_18 expire 1 line
01-27 04:52:29.239  1080   383 I chatty  : uid=1000(system) Binder:1080_16 expire 3 lines
01-27 04:52:29.470  1080  1194 I chatty  : uid=1000(system) batterystats-wo expire 1 line
01-27 04:52:30.546  1080  2207 I chatty  : uid=1000(system) Binder:1080_1C expire 2 lines
01-27 04:52:31.159  1080  1080 I chatty  : uid=1000(system) Binder:1080_3 expire 1 line
01-27 04:52:31.968  1080  1405 I chatty  : uid=1000(system) ConnectivitySer expire 2 lines
01-27 04:52:31.985  1080  1107 I chatty  : uid=1000(system) Binder:1080_2 expire 3 lines
01-27 04:52:31.986  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 13 lines
01-27 04:52:32.356  1080   383 I chatty  : uid=1000(system) Binder:1080_16 expire 2 lines
01-27 04:52:32.357  1080  1405 I chatty  : uid=1000(system) ConnectivitySer expire 9 lines
01-27 04:52:32.893  1080  1307 I chatty  : uid=1000(system) Binder:1080_4 expire 1 line
01-27 04:52:34.974  1080  1194 I chatty  : uid=1000(system) batterystats-wo expire 1 line
01-27 04:52:35.933  1080  2338 I chatty  : uid=1000(system) Binder:1080_B expire 4 lines
01-27 04:52:36.032  1080  2741 I chatty  : uid=1000(system) Binder:1080_1E expire 2 lines
01-27 04:52:36.033  1080  3564 I chatty  : uid=1000(system) Binder:1080_F expire 1 line
01-27 04:52:36.033  1080  1932 I chatty  : uid=1000(system) Binder:1080_1B expire 2 lines
01-27 04:52:36.844  1080  2360 I chatty  : uid=1000(system) Binder:1080_C expire 5 lines
01-27 04:52:40.174  1080  1932 I chatty  : uid=1000(system) Binder:1080_1B expire 4 lines
01-27 04:52:40.175  1080  1405 I chatty  : uid=1000(system) ConnectivitySer expire 9 lines
01-27 04:52:40.465  1080  1194 I chatty  : uid=1000(system) batterystats-wo expire 1 line
01-27 04:52:40.965  1080   383 I chatty  : uid=1000(system) Binder:1080_16 expire 3 lines
01-27 04:52:40.966  1080  1657 I chatty  : uid=1000(system) Binder:1080_19 expire 1 line
01-27 04:52:40.969  1080  4043 I chatty  : uid=1000(system) Binder:1080_14 expire 2 lines
01-27 04:52:42.036  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 4 lines
01-27 04:52:44.941  1080  4059 I chatty  : uid=1000(system) Binder:1080_15 expire 1 line
01-27 04:52:44.945  1080  1798 I chatty  : uid=1000(system) Binder:1080_8 expire 3 lines
01-27 04:52:45.002  1080  1930 I chatty  : uid=1000(system) Binder:1080_1A expire 1 line
01-27 04:52:45.015  1080  2554 I chatty  : uid=1000(system) Binder:1080_E expire 2 lines
01-27 04:52:45.016  1080  2361 I chatty  : uid=1000(system) Binder:1080_D expire 2 lines
01-27 04:52:45.382  1080   383 I chatty  : uid=1000(system) Binder:1080_16 expire 1 line
01-27 04:52:45.776  1080  1194 I chatty  : uid=1000(system) batterystats-wo expire 5 lines
01-27 05:04:05.153  1080  1186 I chatty  : uid=1000(system) ActivityManager expire 1 line
01-27 05:04:05.184  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 18 lines
01-27 05:54:05.316  1080  1080 I chatty  : uid=1000(system) Binder:1080_3 expire 6 lines
01-27 06:13:29.201  1080  1377 I chatty  : uid=1000(system) NetworkStats expire 1 line
01-27 09:44:05.330  1080  3580 I chatty  : uid=1000(system) Binder:1080_11 expire 1 line
